gbifID,species,decimalLatitude,decimalLongitude,elevation
3912147522,Amelanchier alnifolia,49.506972,-123.255133,98
3912146534,Amelanchier alnifolia,54.708983,-127.040704,530
3912145472,Amelanchier alnifolia,49.20545,-122.973785,16
3912143948,Amelanchier alnifolia,51.000808,-123.028747,1453
3912143704,Amelanchier alnifolia,44.575736,-121.619164,812
3912140548,Amelanchier alnifolia,50.080767,-119.432767,640
3912137440,Amelanchier alnifolia,50.876919,-122.161341,737
3912136429,Amelanchier alnifolia,49.258497,-126.135878,3
3912133461,Amelanchier alnifolia,49.723485,-119.763208,408
3912133002,Amelanchier alnifolia,50.134563,-119.349564,501
3912132989,Amelanchier alnifolia,50.503796,-118.294609,973
3912130542,Amelanchier alnifolia,50.452612,-119.314087,968
3912129461,Amelanchier alnifolia,55.276112,-127.715155,316
3912128796,Amelanchier alnifolia,50.98797,-121.803903,1034
3912128679,Amelanchier alnifolia,51.297985,-117.048842,1263
3912127043,Amelanchier alnifolia,50.838875,-121.70092,824
3912126540,Amelanchier alnifolia,49.957884,-119.43588,643
3912125649,Amelanchier alnifolia,50.458905,-119.298653,1037
3912125645,Amelanchier alnifolia,50.174812,-120.535088,627
3912124709,Amelanchier alnifolia,49.886477,-125.120865,2
3912119622,Amelanchier alnifolia,44.571281,-121.620469,821
3912118608,Amelanchier alnifolia,50.844643,-121.224197,912
3912117603,Amelanchier alnifolia,49.370551,-123.291883,1
3912116712,Amelanchier alnifolia,50.802947,-120.451287,900
3912115433,Amelanchier alnifolia,49.705363,-123.116019,67
3912111420,Amelanchier alnifolia,50.28728,-121.40104,275
3912110417,Amelanchier alnifolia,50.744492,-120.113297,776
3912110397,Amelanchier alnifolia,50.102347,-125.203753,15
3912108540,Amelanchier alnifolia,49.107155,-121.910875,421
